BusinessEntityID,NationalIDNumber,LoginID,JobTitle,BirthDate,Gender,HireDate,VacationHours,SickLeaveHours,Name1,GroupName,Name2,StartTime,EndTime,StartDate,EndDate,ModifiedDate
20,323403273,adventure-works\wanida0,Marketing Assistant,17/04/1969,F,07/02/2005,41,40,Marketing,Sales and Marketing,Day,00:00.0,00:00.0,07/02/2005,NULL,00:00.0
21,243322160,adventure-works\terry0,Marketing Specialist,07/03/1980,M,03/04/2003,44,42,Marketing,Sales and Marketing,Day,00:00.0,00:00.0,03/04/2003,NULL,00:00.0
22,95958330,adventure-works\sariya0,Marketing Specialist,21/06/1981,M,13/01/2003,45,42,Marketing,Sales and Marketing,Day,00:00.0,00:00.0,13/01/2003,NULL,00:00.0
23,767955365,adventure-works\mary0,Marketing Specialist,14/10/1956,F,13/02/2003,46,43,Marketing,Sales and Marketing,Day,00:00.0,00:00.0,13/02/2003,NULL,00:00.0
24,72636981,adventure-works\jill0,Marketing Specialist,19/07/1973,F,19/02/2003,47,43,Marketing,Sales and Marketing,Day,00:00.0,00:00.0,19/02/2003,NULL,00:00.0
25,519899904,adventure-works\james1,Vice President of Production,07/02/1977,M,07/03/2003,64,52,Production,Manufacturing,Day,00:00.0,00:00.0,07/03/2003,NULL,00:00.0
26,277173473,adventure-works\peter0,Production Control Manager,04/12/1976,M,02/01/2003,43,41,Production Control,Manufacturing,Day,00:00.0,00:00.0,02/01/2003,NULL,00:00.0
27,446466105,adventure-works\jo0,Production Supervisor - WC60,09/11/1950,F,30/03/2002,80,60,Production,Manufacturing,Day,00:00.0,00:00.0,30/03/2002,NULL,00:00.0
28,14417807,adventure-works\guy1,Production Technician - WC60,15/05/1976,M,31/07/2000,21,30,Production,Manufacturing,Day,00:00.0,00:00.0,31/07/2000,NULL,00:00.0
29,948320468,adventure-works\mark1,Production Technician - WC60,26/10/1973,M,24/02/2003,19,29,Production,Manufacturing,Day,00:00.0,00:00.0,24/02/2003,NULL,00:00.0
30,410742000,adventure-works\britta0,Production Technician - WC60,30/10/1983,F,02/03/2003,14,27,Production,Manufacturing,Day,00:00.0,00:00.0,02/03/2003,NULL,00:00.0
31,750246141,adventure-works\margie0,Production Technician - WC60,20/06/1980,F,05/02/2003,18,29,Production,Manufacturing,Day,00:00.0,00:00.0,05/02/2003,NULL,00:00.0
32,330211482,adventure-works\rebecca0,Production Technician - WC60,11/08/1971,F,30/01/2003,23,31,Production,Manufacturing,Day,00:00.0,00:00.0,30/01/2003,NULL,00:00.0
33,801758002,adventure-works\annik0,Production Technician - WC60,27/01/1971,M,18/01/2003,17,28,Production,Manufacturing,Day,00:00.0,00:00.0,18/01/2003,NULL,00:00.0
34,754372876,adventure-works\suchitra0,Production Technician - WC60,11/07/1981,F,20/03/2003,15,27,Production,Manufacturing,Day,00:00.0,00:00.0,20/03/2003,NULL,00:00.0
35,999440576,adventure-works\brandon0,Production Technician - WC60,11/02/1971,M,12/03/2003,22,31,Production,Manufacturing,Day,00:00.0,00:00.0,12/03/2003,NULL,00:00.0
36,788456780,adventure-works\jose0,Production Technician - WC60,01/09/1978,M,14/03/2003,20,30,Production,Manufacturing,Day,00:00.0,00:00.0,14/03/2003,NULL,00:00.0
37,442121106,adventure-works\chris2,Production Technician - WC60,07/09/1980,M,08/04/2003,16,28,Production,Manufacturing,Day,00:00.0,00:00.0,08/04/2003,NULL,00:00.0
38,6298838,adventure-works\kim1,Production Technician - WC60,14/01/1961,F,17/02/2004,24,32,Production,Manufacturing,Day,00:00.0,00:00.0,17/02/2004,NULL,00:00.0
39,461786517,adventure-works\ed0,Production Technician - WC60,12/10/1965,M,08/03/2004,25,32,Production,Manufacturing,Day,00:00.0,00:00.0,08/03/2004,NULL,00:00.0
40,309738752,adventure-works\jolynn0,Production Supervisor - WC60,16/02/1950,F,26/01/2002,82,61,Production,Manufacturing,Night,00:00.0,00:00.0,26/01/2002,NULL,00:00.0
41,458159238,adventure-works\bryan0,Production Technician - WC60,28/09/1967,M,22/02/2003,35,37,Production,Manufacturing,Night,00:00.0,00:00.0,22/02/2003,NULL,00:00.0
42,339712426,adventure-works\james0,Production Technician - WC60,26/08/1978,M,28/01/2003,39,39,Production,Manufacturing,Night,00:00.0,00:00.0,28/01/2003,NULL,00:00.0
43,693325305,adventure-works\nancy0,Production Technician - WC60,21/12/1982,F,03/02/2003,34,37,Production,Manufacturing,Night,00:00.0,00:00.0,03/02/2003,NULL,00:00.0
44,276751903,adventure-works\simon0,Production Technician - WC60,17/06/1984,M,09/01/2003,38,39,Production,Manufacturing,Night,00:00.0,00:00.0,09/01/2003,NULL,00:00.0
45,500412746,adventure-works\thomas0,Production Technician - WC60,11/02/1980,M,30/03/2003,37,38,Production,Manufacturing,Night,00:00.0,00:00.0,30/03/2003,NULL,00:00.0
46,66073987,adventure-works\eugene1,Production Technician - WC60,13/03/1970,M,12/03/2003,36,38,Production,Manufacturing,Night,00:00.0,00:00.0,12/03/2003,NULL,00:00.0
47,33237992,adventure-works\andrew0,Production Supervisor - WC10,08/10/1982,M,26/03/2003,65,52,Production,Manufacturing,Day,00:00.0,00:00.0,26/03/2003,NULL,00:00.0
48,690627818,adventure-works\ruth0,Production Technician - WC10,06/07/1950,F,06/02/2002,83,61,Production,Manufacturing,Day,00:00.0,00:00.0,06/02/2002,NULL,00:00.0
49,912265825,adventure-works\barry0,Production Technician - WC10,27/04/1950,M,07/02/2002,88,64,Production,Manufacturing,Day,00:00.0,00:00.0,07/02/2002,NULL,00:00.0
50,844973625,adventure-works\sidney0,Production Technician - WC10,01/10/1950,M,05/03/2002,84,62,Production,Manufacturing,Day,00:00.0,00:00.0,05/03/2002,NULL,00:00.0
51,132674823,adventure-works\jeffrey0,Production Technician - WC10,12/08/1950,M,23/03/2002,85,62,Production,Manufacturing,Day,00:00.0,00:00.0,23/03/2002,NULL,00:00.0
52,565090917,adventure-works\doris0,Production Technician - WC10,06/05/1950,F,11/04/2002,86,63,Production,Manufacturing,Day,00:00.0,00:00.0,11/04/2002,NULL,00:00.0
53,9659517,adventure-works\diane0,Production Technician - WC10,30/04/1950,F,29/04/2002,87,63,Production,Manufacturing,Day,00:00.0,00:00.0,29/04/2002,NULL,00:00.0
54,109272464,adventure-works\bonnie0,Production Technician - WC10,11/10/1980,F,02/02/2004,89,64,Production,Manufacturing,Day,00:00.0,00:00.0,02/02/2004,NULL,00:00.0
55,233069302,adventure-works\taylor0,Production Supervisor - WC50,03/05/1950,M,11/03/2002,79,59,Production,Manufacturing,Night,00:00.0,00:00.0,11/03/2002,NULL,00:00.0
56,652535724,adventure-works\denise0,Production Technician - WC50,07/08/1982,F,09/03/2003,9,24,Production,Manufacturing,Night,00:00.0,00:00.0,09/03/2003,NULL,00:00.0
57,10708100,adventure-works\frank1,Production Technician - WC50,24/08/1965,M,27/03/2003,10,25,Production,Manufacturing,Night,00:00.0,00:00.0,27/03/2003,NULL,00:00.0
58,571658797,adventure-works\kendall0,Production Technician - WC50,30/06/1980,M,06/01/2003,11,25,Production,Manufacturing,Night,00:00.0,00:00.0,06/01/2003,NULL,00:00.0
59,843479922,adventure-works\bob0,Production Technician - WC50,16/09/1973,M,25/01/2003,12,26,Production,Manufacturing,Night,00:00.0,00:00.0,25/01/2003,NULL,00:00.0
60,827686041,adventure-works\pete0,Production Technician - WC50,07/03/1971,M,12/02/2003,13,26,Production,Manufacturing,Night,00:00.0,00:00.0,12/02/2003,NULL,00:00.0
61,92096924,adventure-works\diane2,Production Technician - WC50,10/09/1983,F,19/02/2003,8,24,Production,Manufacturing,Night,00:00.0,00:00.0,19/02/2003,NULL,00:00.0
62,494170342,adventure-works\john0,Production Supervisor - WC60,08/09/1950,M,18/04/2002,81,60,Production,Manufacturing,Evening,00:00.0,00:00.0,18/04/2002,NULL,00:00.0
63,414476027,adventure-works\maciej0,Production Technician - WC60,02/03/1949,M,01/03/2004,30,35,Production,Manufacturing,Evening,00:00.0,00:00.0,01/03/2004,NULL,00:00.0
64,582347317,adventure-works\michael7,Production Technician - WC60,07/10/1967,M,26/03/2004,26,33,Production,Manufacturing,Evening,00:00.0,00:00.0,26/03/2004,NULL,00:00.0
65,8066363,adventure-works\randy0,Production Technician - WC60,29/05/1964,M,26/03/2004,29,34,Production,Manufacturing,Evening,00:00.0,00:00.0,26/03/2004,NULL,00:00.0
66,834186596,adventure-works\karan0,Production Technician - WC60,07/04/1964,M,23/01/2004,28,34,Production,Manufacturing,Evening,00:00.0,00:00.0,23/01/2004,NULL,00:00.0
67,63179277,adventure-works\jay0,Production Technician - WC60,14/03/1970,M,06/04/2003,32,36,Production,Manufacturing,Evening,00:00.0,00:00.0,06/04/2003,NULL,00:00.0
68,537092325,adventure-works\charles0,Production Technician - WC60,03/10/1965,M,04/01/2004,27,33,Production,Manufacturing,Evening,00:00.0,00:00.0,04/01/2004,NULL,00:00.0
69,752513276,adventure-works\steve0,Production Technician - WC60,07/05/1985,M,19/03/2003,31,35,Production,Manufacturing,Evening,00:00.0,00:00.0,19/03/2003,NULL,00:00.0
70,36151748,adventure-works\david2,Production Technician - WC60,30/01/1979,M,16/01/2003,33,36,Production,Manufacturing,Evening,00:00.0,00:00.0,16/01/2003,NULL,00:00.0
71,578935259,adventure-works\michael3,Production Supervisor - WC30,02/03/1983,M,19/03/2003,70,55,Production,Manufacturing,Night,00:00.0,00:00.0,19/03/2003,NULL,00:00.0
72,443968955,adventure-works\steven0,Production Technician - WC30,15/06/1971,M,02/01/2003,41,40,Production,Manufacturing,Night,00:00.0,00:00.0,02/01/2003,NULL,00:00.0
73,138280935,adventure-works\carole0,Production Technician - WC30,19/11/1977,F,20/01/2003,42,41,Production,Manufacturing,Night,00:00.0,00:00.0,20/01/2003,NULL,00:00.0
74,420023788,adventure-works\bjorn0,Production Technician - WC30,08/12/1983,M,08/02/2003,43,41,Production,Manufacturing,Night,00:00.0,00:00.0,08/02/2003,NULL,00:00.0
75,363996959,adventure-works\michiko0,Production Technician - WC30,28/07/1976,M,27/02/2003,44,42,Production,Manufacturing,Night,00:00.0,00:00.0,27/02/2003,NULL,00:00.0
76,227319668,adventure-works\carol0,Production Technician - WC30,18/11/1982,F,16/03/2003,45,42,Production,Manufacturing,Night,00:00.0,00:00.0,16/03/2003,NULL,00:00.0
77,301435199,adventure-works\merav0,Production Technician - WC30,13/06/1977,F,04/04/2003,46,43,Production,Manufacturing,Night,00:00.0,00:00.0,04/04/2003,NULL,00:00.0
78,370989364,adventure-works\reuben0,Production Supervisor - WC40,27/09/1981,M,16/01/2003,72,56,Production,Manufacturing,Evening,00:00.0,00:00.0,16/01/2003,NULL,00:00.0
79,697712387,adventure-works\eric1,Production Technician - WC40,08/01/1961,M,25/02/2004,60,50,Production,Manufacturing,Evening,00:00.0,00:00.0,25/02/2004,NULL,00:00.0
80,943170460,adventure-works\sandeep0,Production Technician - WC40,03/01/1965,M,18/02/2004,65,52,Production,Manufacturing,Evening,00:00.0,00:00.0,18/02/2004,NULL,00:00.0
81,413787783,adventure-works\mihail0,Production Technician - WC40,09/04/1965,M,30/01/2004,64,52,Production,Manufacturing,Evening,00:00.0,00:00.0,30/01/2004,NULL,00:00.0
82,58791499,adventure-works\jack1,Production Technician - WC40,30/09/1967,M,03/04/2004,62,51,Production,Manufacturing,Evening,00:00.0,00:00.0,03/04/2004,NULL,00:00.0
83,988315686,adventure-works\patrick1,Production Technician - WC40,24/01/1968,M,15/03/2004,61,50,Production,Manufacturing,Evening,00:00.0,00:00.0,15/03/2004,NULL,00:00.0
84,947029962,adventure-works\frank3,Production Technician - WC40,03/04/1946,M,08/03/2004,66,53,Production,Manufacturing,Evening,00:00.0,00:00.0,08/03/2004,NULL,00:00.0
85,1662732,adventure-works\brian2,Production Technician - WC40,23/01/1965,M,12/01/2004,63,51,Production,Manufacturing,Evening,00:00.0,00:00.0,12/01/2004,NULL,00:00.0
86,769680433,adventure-works\ryan0,Production Technician - WC40,15/07/1966,M,06/02/2003,59,49,Production,Manufacturing,Evening,00:00.0,00:00.0,06/02/2003,NULL,00:00.0
87,7201901,adventure-works\cristian0,Production Supervisor - WC10,13/05/1978,M,23/01/2003,67,53,Production,Manufacturing,Night,00:00.0,00:00.0,23/01/2003,NULL,00:00.0
88,294148271,adventure-works\betsy0,Production Technician - WC10,17/01/1961,F,19/01/2004,99,69,Production,Manufacturing,Night,00:00.0,00:00.0,19/01/2004,NULL,00:00.0
89,90888098,adventure-works\patrick0,Production Technician - WC10,11/10/1980,M,04/03/2004,96,68,Production,Manufacturing,Night,00:00.0,00:00.0,04/03/2004,NULL,00:00.0
90,82638150,adventure-works\danielle0,Production Technician - WC10,08/10/1980,F,23/03/2004,97,68,Production,Manufacturing,Night,00:00.0,00:00.0,23/03/2004,NULL,00:00.0
91,390124815,adventure-works\kimberly0,Production Technician - WC10,14/10/1980,F,13/02/2004,95,67,Production,Manufacturing,Night,00:00.0,00:00.0,13/02/2004,NULL,00:00.0
92,826454897,adventure-works\tom0,Production Technician - WC10,01/11/1980,M,10/04/2004,98,69,Production,Manufacturing,Night,00:00.0,00:00.0,10/04/2004,NULL,00:00.0
93,778552911,adventure-works\kok-ho0,Production Supervisor - WC50,30/05/1974,M,28/01/2003,78,59,Production,Manufacturing,Evening,00:00.0,00:00.0,28/01/2003,NULL,00:00.0
94,718299860,adventure-works\russell0,Production Technician - WC50,27/12/1966,M,13/01/2003,6,23,Production,Manufacturing,Evening,00:00.0,00:00.0,13/01/2003,NULL,00:00.0
95,674171828,adventure-works\jim0,Production Technician - WC50,09/10/1980,M,20/01/2003,1,20,Production,Manufacturing,Evening,00:00.0,00:00.0,20/01/2003,NULL,00:00.0
96,912141525,adventure-works\elizabeth0,Production Technician - WC50,26/02/1984,F,03/04/2003,5,22,Production,Manufacturing,Evening,00:00.0,00:00.0,03/04/2003,NULL,00:00.0
97,370581729,adventure-works\mandar0,Production Technician - WC50,21/04/1980,M,14/03/2003,0,20,Production,Manufacturing,Evening,00:00.0,00:00.0,14/03/2003,NULL,00:00.0
98,152085091,adventure-works\sameer0,Production Technician - WC50,27/07/1972,M,15/03/2003,4,22,Production,Manufacturing,Evening,00:00.0,00:00.0,15/03/2003,NULL,00:00.0
99,431859843,adventure-works\nuan0,Production Technician - WC50,29/04/1973,M,07/02/2003,2,21,Production,Manufacturing,Evening,00:00.0,00:00.0,07/02/2003,NULL,00:00.0
100,204035155,adventure-works\lolan0,Production Technician - WC50,25/02/1967,M,13/02/2003,7,23,Production,Manufacturing,Evening,00:00.0,00:00.0,13/02/2003,NULL,00:00.0
101,153288994,adventure-works\houman0,Production Technician - WC50,30/09/1965,M,26/02/2003,3,21,Production,Manufacturing,Evening,00:00.0,00:00.0,26/02/2003,NULL,00:00.0
102,360868122,adventure-works\zheng0,Production Supervisor - WC10,26/11/1977,M,04/01/2003,66,53,Production,Manufacturing,Evening,00:00.0,00:00.0,04/01/2003,NULL,00:00.0
103,455563743,adventure-works\ebru0,Production Technician - WC10,23/10/1980,M,07/01/2004,93,66,Production,Manufacturing,Evening,00:00.0,00:00.0,07/01/2004,NULL,00:00.0
104,717889520,adventure-works\mary1,Production Technician - WC10,20/10/1980,F,26/01/2004,94,67,Production,Manufacturing,Evening,00:00.0,00:00.0,26/01/2004,NULL,00:00.0
105,801365500,adventure-works\kevin2,Production Technician - WC10,20/10/1980,M,26/01/2004,90,65,Production,Manufacturing,Evening,00:00.0,00:00.0,26/01/2004,NULL,00:00.0
106,561196580,adventure-works\john4,Production Technician - WC10,29/10/1980,M,30/03/2004,92,66,Production,Manufacturing,Evening,00:00.0,00:00.0,30/03/2004,NULL,00:00.0
107,393421437,adventure-works\christopher0,Production Technician - WC10,01/11/1980,M,11/03/2004,91,65,Production,Manufacturing,Evening,00:00.0,00:00.0,11/03/2004,NULL,00:00.0
108,630184120,adventure-works\jinghao0,Production Supervisor - WC50,09/03/1983,M,09/01/2003,77,58,Production,Manufacturing,Day,00:00.0,00:00.0,09/01/2003,NULL,00:00.0
109,113695504,adventure-works\alice0,Production Technician - WC50,27/02/1972,F,08/01/2003,95,67,Production,Manufacturing,Day,00:00.0,00:00.0,08/01/2003,NULL,00:00.0
110,857651804,adventure-works\jun0,Production Technician - WC50,06/08/1973,M,15/01/2003,90,65,Production,Manufacturing,Day,00:00.0,00:00.0,15/01/2003,NULL,00:00.0
111,415823523,adventure-works\suroor0,Production Technician - WC50,28/03/1972,M,18/01/2003,93,66,Production,Manufacturing,Day,00:00.0,00:00.0,18/01/2003,NULL,00:00.0
112,981597097,adventure-works\john1,Production Technician - WC50,01/07/1972,M,02/02/2003,91,65,Production,Manufacturing,Day,00:00.0,00:00.0,02/02/2003,NULL,00:00.0
113,54759846,adventure-works\linda0,Production Technician - WC50,17/08/1981,F,26/01/2003,96,68,Production,Manufacturing,Day,00:00.0,00:00.0,26/01/2003,NULL,00:00.0
114,342607223,adventure-works\mindaugas0,Production Technician - WC50,07/06/1972,M,14/02/2003,97,68,Production,Manufacturing,Day,00:00.0,00:00.0,14/02/2003,NULL,00:00.0
115,563680513,adventure-works\angela0,Production Technician - WC50,01/07/1985,F,21/02/2003,92,66,Production,Manufacturing,Day,00:00.0,00:00.0,21/02/2003,NULL,00:00.0
116,398737566,adventure-works\michael2,Production Technician - WC50,03/06/1968,M,04/03/2003,98,69,Production,Manufacturing,Day,00:00.0,00:00.0,04/03/2003,NULL,00:00.0
117,599942664,adventure-works\chad0,Production Technician - WC50,04/09/1984,M,22/03/2003,99,69,Production,Manufacturing,Day,00:00.0,00:00.0,22/03/2003,NULL,00:00.0
118,222400012,adventure-works\don0,Production Technician - WC50,14/07/1965,M,17/03/2003,88,64,Production,Manufacturing,Day,00:00.0,00:00.0,17/03/2003,NULL,00:00.0
119,334834274,adventure-works\michael4,Production Technician - WC50,17/07/1983,M,29/03/2003,94,67,Production,Manufacturing,Day,00:00.0,00:00.0,29/03/2003,NULL,00:00.0
120,211789056,adventure-works\kitti0,Production Technician - WC50,07/07/1981,F,05/04/2003,89,64,Production,Manufacturing,Day,00:00.0,00:00.0,05/04/2003,NULL,00:00.0
121,521265716,adventure-works\pilar0,Shipping and Receiving Supervisor,11/10/1966,M,03/02/2003,93,66,Shipping and Receiving,Inventory Management,Day,00:00.0,00:00.0,03/02/2003,NULL,00:00.0
122,586486572,adventure-works\susan0,Stocker,20/03/1972,F,08/01/2003,97,68,Shipping and Receiving,Inventory Management,Evening,00:00.0,00:00.0,08/01/2003,NULL,00:00.0
123,337752649,adventure-works\vamsi0,Shipping and Receiving Clerk,19/04/1971,M,08/01/2003,95,67,Shipping and Receiving,Inventory Management,Evening,00:00.0,00:00.0,08/01/2003,NULL,00:00.0
124,420776180,adventure-works\kim0,Stocker,01/06/1978,F,27/01/2003,98,69,Shipping and Receiving,Inventory Management,Night,00:00.0,00:00.0,27/01/2003,NULL,00:00.0
125,584205124,adventure-works\matthias0,Shipping and Receiving Clerk,13/12/1967,M,21/02/2003,94,67,Shipping and Receiving,Inventory Management,Day,00:00.0,00:00.0,21/02/2003,NULL,00:00.0
126,652779496,adventure-works\jimmy0,Stocker,05/06/1979,M,30/03/2003,96,68,Shipping and Receiving,Inventory Management,Day,00:00.0,00:00.0,30/03/2003,NULL,00:00.0
127,750905084,adventure-works\david4,Production Supervisor - WC40,02/08/1977,M,04/02/2003,73,56,Production,Manufacturing,Night,00:00.0,00:00.0,04/02/2003,NULL,00:00.0
128,384162788,adventure-works\paul0,Production Technician - WC40,15/12/1974,M,05/01/2003,68,54,Production,Manufacturing,Night,00:00.0,00:00.0,05/01/2003,NULL,00:00.0
129,502058701,adventure-works\gary0,Production Technician - WC40,17/06/1982,M,23/01/2003,69,54,Production,Manufacturing,Night,00:00.0,00:00.0,23/01/2003,NULL,00:00.0
130,578953538,adventure-works\rob1,Production Technician - WC40,05/09/1967,M,17/03/2003,71,55,Production,Manufacturing,Night,00:00.0,00:00.0,17/03/2003,NULL,00:00.0
131,273260055,adventure-works\baris0,Production Technician - WC40,07/11/1984,M,19/03/2003,72,56,Production,Manufacturing,Night,00:00.0,00:00.0,19/03/2003,NULL,00:00.0
132,1300049,adventure-works\nicole0,Production Technician - WC40,10/05/1980,F,26/03/2003,67,53,Production,Manufacturing,Night,00:00.0,00:00.0,26/03/2003,NULL,00:00.0
133,830150469,adventure-works\michael1,Production Technician - WC40,04/02/1985,M,11/02/2003,70,55,Production,Manufacturing,Night,00:00.0,00:00.0,11/02/2003,NULL,00:00.0
134,45615666,adventure-works\eric0,Production Supervisor - WC20,20/02/1979,M,15/02/2003,40,40,Production,Manufacturing,Day,00:00.0,00:00.0,15/02/2003,NULL,00:00.0
135,964089218,adventure-works\ivo0,Production Technician - WC20,04/02/1976,M,05/01/2003,9,24,Production,Manufacturing,Day,00:00.0,00:00.0,05/01/2003,NULL,00:00.0
136,701156975,adventure-works\sylvester0,Production Technician - WC20,13/12/1964,M,12/01/2004,4,22,Production,Manufacturing,Day,00:00.0,00:00.0,12/01/2004,NULL,00:00.0
137,63761469,adventure-works\anibal0,Production Technician - WC20,06/10/1968,F,27/03/2003,8,24,Production,Manufacturing,Day,00:00.0,00:00.0,27/03/2003,NULL,00:00.0
138,25011600,adventure-works\samantha0,Production Technician - WC20,23/12/1981,F,08/03/2003,7,23,Production,Manufacturing,Day,00:00.0,00:00.0,08/03/2003,NULL,00:00.0
139,113393530,adventure-works\hung-fu0,Production Technician - WC20,23/11/1965,M,07/02/2004,0,20,Production,Manufacturing,Day,00:00.0,00:00.0,07/02/2004,NULL,00:00.0
140,339233463,adventure-works\prasanna0,Production Technician - WC20,01/06/1947,M,23/02/2004,5,22,Production,Manufacturing,Day,00:00.0,00:00.0,23/02/2004,NULL,00:00.0
141,872923042,adventure-works\min0,Production Technician - WC20,11/10/1968,M,25/02/2004,1,20,Production,Manufacturing,Day,00:00.0,00:00.0,25/02/2004,NULL,00:00.0
142,163347032,adventure-works\olinda0,Production Technician - WC20,05/05/1964,F,04/04/2004,3,21,Production,Manufacturing,Day,00:00.0,00:00.0,04/04/2004,NULL,00:00.0
143,56772045,adventure-works\krishna0,Production Technician - WC20,06/10/1965,M,16/03/2004,2,21,Production,Manufacturing,Day,00:00.0,00:00.0,16/03/2004,NULL,00:00.0
144,886023130,adventure-works\paul1,Production Technician - WC20,05/12/1984,M,18/02/2003,6,23,Production,Manufacturing,Day,00:00.0,00:00.0,18/02/2003,NULL,00:00.0
145,386315192,adventure-works\cynthia0,Production Supervisor - WC30,19/09/1975,F,28/02/2003,69,54,Production,Manufacturing,Evening,00:00.0,00:00.0,28/02/2003,NULL,00:00.0
146,160739235,adventure-works\jianshuo0,Production Technician - WC30,27/08/1977,M,08/01/2003,36,38,Production,Manufacturing,Evening,00:00.0,00:00.0,08/01/2003,NULL,00:00.0
147,604664374,adventure-works\sandra0,Production Technician - WC30,06/12/1969,F,27/01/2003,37,38,Production,Manufacturing,Evening,00:00.0,00:00.0,27/01/2003,NULL,00:00.0
148,733022683,adventure-works\jason0,Production Technician - WC30,08/01/1983,M,15/02/2003,38,39,Production,Manufacturing,Evening,00:00.0,00:00.0,15/02/2003,NULL,00:00.0
149,764853868,adventure-works\andy0,Production Technician - WC30,20/11/1977,M,04/03/2003,39,39,Production,Manufacturing,Evening,00:00.0,00:00.0,04/03/2003,NULL,00:00.0
150,878395493,adventure-works\michael5,Production Technician - WC30,19/10/1976,M,30/03/2003,35,37,Production,Manufacturing,Evening,00:00.0,00:00.0,30/03/2003,NULL,00:00.0
151,993310268,adventure-works\rostislav0,Production Technician - WC30,15/10/1971,M,23/03/2003,40,40,Production,Manufacturing,Evening,00:00.0,00:00.0,23/03/2003,NULL,00:00.0
152,319472946,adventure-works\yuhong0,Production Supervisor - WC20,08/05/1971,M,05/03/2003,41,40,Production,Manufacturing,Evening,00:00.0,00:00.0,05/03/2003,NULL,00:00.0
